comment_id,video_id,username,comment_text,clean_text,digg_count,create_time,video_context,llm_hate_speech,llm_confidence,llm_justification
7561730231666606864,7561715312287141128,❥𝑒𝓂 ℌ𝓪 ♔,huhu t sợ bị lũ quá 😭,huhu t sợ bị lũ quá,1,1760602534,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment expresses personal fear about flooding, which is not hate speech."
7561727641675924231,7561715312287141128,khánh,mới mưa từ 2g sáng thôi mà ngập cỡ đó=)),mới mưa từ 2g sáng thôi mà ngập cỡ đó=)),3,1760601929,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment makes an observation about flooding after rain, which is not hate speech."
7561762159010661141,7561715312287141128,ntu.1610,Vãi mình vừa vi vu đường NT về có thấy chỗ nào ngập đâu,vãi mình vừa vi vu đường nt về có thấy chỗ nào ngập đâu,3,1760609963,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment expresses a personal experience that contradicts the video's context, without using hate speech."
7561788018035475207,7561715312287141128,Anhh Tuu,hong hiểu tại sao bị vâyyy,hong hiểu tại sao bị vâyyy,1,1760615978,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment expresses confusion and seeks understanding about the situation, which is not hate speech."
7561763258937934613,7561715312287141128,♌ xắp 30,ở nha trang giờ này còn mưa bay bay,ở nha trang giờ này còn mưa bay bay,0,1760610218,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment reports current weather conditions in a specific location, which is not hate speech."
7561789295574008584,7561715312287141128,An Phát,"Mới có 1 đoạn đường xe máy không qua được, vòng chỗ khác 1 phút là qua, chưa mưa 1 ngày thế mà các ông cứ như là cả Nha Trang mưa suốt tuần, ngập lên nóc nhà lợn gà ngủ cùng người ấy 😂","mới có 1 đoạn đường xe máy không qua được, vòng chỗ khác 1 phút là qua, chưa mưa 1 ngày thế mà các ông cứ như là cả nha trang mưa suốt tuần, ngập lên nóc nhà lợn gà ngủ cùng người ấy",0,1760616275,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment downplays the severity of the flooding and criticizes others for exaggerating, but it does not contain insults, degradation, or attacks toward people/groups."
7561744299953341204,7561715312287141128,Hoạt Hình 3D Hot,tui đang ở nha Trang nhè,tui đang ở nha trang nhè,0,1760605805,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment states the commenter's current location, which is not hate speech."
7561764476543763208,7561715312287141128,Thêm tên bạn mong muốn,May mà nhảy từ bắc vào nha trang,may mà nhảy từ bắc vào nha trang,0,1760610501,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment expresses personal relief about their location, which is not hate speech."
7561789316973298450,7561715312287141128,lequ@ng,đà lạt còn ngập thì nha trang cũng không ngạc nhiên 🙂,đà lạt còn ngập thì nha trang cũng không ngạc nhiên,0,1760616281,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment makes an observational comparison about flooding in different cities, which is not hate speech."
7562236491516543752,7561715312287141128,Huỳnh Thảo,"T ở trung tâm, khu nhà t k có xíu nước nào 🙂","t ở trung tâm, khu nhà t k có xíu nước nào",0,1760720400,KHÔNG RIÊNG GÌ HÀ NỘI #60giay #theanh28 #theanh28news,NOT_HATE_SPEECH,1.0,"The comment reports a personal experience of no flooding in their area, which is not hate speech."
