comment_id,video_id,username,comment_text,digg_count,create_time,clean_text
7563188633580061447,7563136495851441426,🅢🐢🅘🐢🅝🐢 👍 🅑🐢🅘🐢🅓🐢🅐,í dụ này giống trong phim Bác Sĩ thiên tài trong phim HQ quá dạ🤔🤔,1,1760942086,í dụ này giống trong phim bác sĩ thiên tài trong phim hq quá dạ
7563266786599256839,7563136495851441426,Hoàng Oanh,"Ý là VN mk cũng thầm lặng cứu người á, nhiều người được giải cứu và có đăng tin thường xuyên luôn. Vậy mà lên đây mn toàn nói VN mk ko làm j. Chẳn hiểu nổi",1,1760960280,"ý là vn mk cũng thầm lặng cứu người á, nhiều người được giải cứu và có đăng tin thường xuyên luôn. vậy mà lên đây mn toàn nói vn mk ko làm j. chẳn hiểu nổi"
7563184150234465031,7563136495851441426,HồngPhương họ Nguyễn,"t từ phở bò qua, cừi đin 😂😂",1,1760941045,"t từ phở bò qua, cừi đin"
7563841704191034130,7563136495851441426,UncleTshop,Dễ mà quay lại chỗ cũ đợi 8h trốn thoát tớ đại sứ quán😳😳,1,1761094146,dễ mà quay lại chỗ cũ đợi 8h trốn thoát tớ đại sứ quán
7563161419086316306,7563136495851441426,Bí Danh,😂 Thật hay đùa vậy chắc thuê dân bên Cam làm bảo vệ hả,1,1760935754,thật hay đùa vậy chắc thuê dân bên cam làm bảo vệ hả
7563160254101127944,7563136495851441426,Văn Nguyễn,Cũng may không phải là ngày chủ nhật 😅,1,1760935478,cũng may không phải là ngày chủ nhật
7563147276257346325,7563136495851441426,ying,vãi thật đấy 😂😂😂😂 đúng là đừng tin những gì trên mạng 😂😂,1,1760932459,vãi thật đấy đúng là đừng tin những gì trên mạng
7563195979643880200,7563136495851441426,Bé Học Tiếng Anh,cái gì lạ dẫy 😆,1,1760943800,cái gì lạ dẫy
7563144861651141397,7563143615787109639,Bò ko ăn cỏ VE88,Trùm cuối là Husen,266,1760931896,trùm cuối là husen
7563146368035242773,7563143615787109639,Buông 🎤 + ngáo ngơ review,Sao giống diễn viên hài Long đẹp trai thế nhỉ,15,1760932247,sao giống diễn viên hài long đẹp trai thế nhỉ
7563150289189946130,7563143615787109639,Anh Anh,cha con husen chứ ai...thấy bộ sưu tập đồng hồ thì cung đủ hiểu r😅,50,1760933159,cha con husen chứ ai...thấy bộ sưu tập đồng hồ thì cung đủ hiểu r
7563154150882034450,7563143615787109639,Rose Quỳnh,ko cần 1 viên đạn. ông Trump trí tuệ tầm vũ trụ chứ có phải thường đâu,9,1760934060,ko cần 1 viên đạn. ông trump trí tuệ tầm vũ trụ chứ có phải thường đâu
7563156101018469141,7563143615787109639,the Mini Lap,"Hunsen già rồi, để con lên trị vì một cách chắc chân thì tiền là thứ rất quan trọng để củng cố chân rết :))",6,1760934512,"hunsen già rồi, để con lên trị vì một cách chắc chân thì tiền là thứ rất quan trọng để củng cố chân rết :))"
7563180549565989633,7563143615787109639,1990,chạy qua vn với mật danh long đẹp trai 😆😆😆,2,1760940206,chạy qua vn với mật danh long đẹp trai
7563151699792266004,7563143615787109639,My sói,"trùm cuối là ô tập, ô cài cắm người sang lừa cả thế giới mang tiền về làm giàu cho tung của, hunsen chỉ hưởng tí sái thôi, mẽo cũng đc 15 tỷ đô",2,1760933486,"trùm cuối là ô tập, ô cài cắm người sang lừa cả thế giới mang tiền về làm giàu cho tung của, hunsen chỉ hưởng tí sái thôi, mẽo cũng đc 15 tỷ đô"
7563146018523988743,7563143615787109639,Nhật Huy,Trùm cuối là anh Tập,3,1760932165,trùm cuối là anh tập
7563150034076009234,7563143615787109639,Quỳnh Chibi TipClub,Nay long đẹp trai đi đâu sang đấy thế 😁😁😁😁,15,1760933102,nay long đẹp trai đi đâu sang đấy thế
7563149564208071445,7563143615787109639,😏😏😏,Trùm cuối husen 😂,2,1760932991,trùm cuối husen
7563151972233675538,7563143615787109639,Tuấn Trần.,ai xem phim châu doanh sẽ hiểu hiệu ứng rút tiền dây chuyền này đáng sợ như nào😂😂😂,4,1760933547,ai xem phim châu doanh sẽ hiểu hiệu ứng rút tiền dây chuyền này đáng sợ như nào
7563146711671440146,7563143615787109639,đứa con của Đảng,nó cùng lắm cũng chỉ là thằng đệ quản lí hộ th chủ bên trung thôi 😅😅 trên nó phải vài thằng nữa ấy chứ 😂😂😂,2,1760932327,nó cùng lắm cũng chỉ là thằng đệ quản lí hộ th chủ bên trung thôi trên nó phải vài thằng nữa ấy chứ
7563144816549184277,7563143615787109639,cherry🍒,trốn gòi,1,1760931882,trốn gòi
7563162944738427649,7563143615787109639,bka,chẳng chấn an :))))) . Việt Nam cũng thế sau vụ Vạn Thịnh Phát đó thôi,9,1760936111,chẳng chấn an :))))) . việt nam cũng thế sau vụ vạn thịnh phát đó thôi
7563181723228570375,7563143615787109639,Mạnh quy 93,Nước đã hết tiền mn khỏi lấy 😂😂😂😂,1,1760940473,nước đã hết tiền mn khỏi lấy
7563161409438532359,7563143615787109639,Kclub Bao Húp,Anh em họ hàng xa ơi là xa của Long đẹp trai 😂,0,1760935747,anh em họ hàng xa ơi là xa của long đẹp trai
7563160547245998862,7563143615787109639,Đức Thắng Trần,chủ quyền quốc gia còn không kiểm soát được thì.....😁,1,1760935611,chủ quyền quốc gia còn không kiểm soát được thì.....
7563147277792101140,7563143615787109639,Vab.e.t Chill,"Ổng bên Việt Nam nè, mới thấy dưới chợ Bà Chiểu =))))))",0,1760932457,"ổng bên việt nam nè, mới thấy dưới chợ bà chiểu =))))))"
7563156636946662164,7563143615787109639,Kim Lân,Lời nói của cam bây giờ thì ai tin,0,1760934643,lời nói của cam bây giờ thì ai tin
7563233879092806418,7563143615787109639,1234ppphhh,Trùm cuối là trùm mền Huns senf 😁😁😁😁,0,1760952621,trùm cuối là trùm mền huns senf
7563210311282246407,7563143615787109639,Elieen Hu,lập hẳn cái ngân hàng để rửa tiền😑,0,1760947131,lập hẳn cái ngân hàng để rửa tiền
